key,comp_level,set_number,match_number,team_key,r1,r2,r3,b1,b2,b3,alliance,scout_Init,a_startPos,a_hit,a_Climb,a_sideClimb,a_scoringTime,a_scoringTime_segments,a_ferryTime,a_ferryTime_segments,a_planner,time_broken,t_scoringTime,t_scoringTime_segments,t_NZferryTime,t_NZferryTime_segments,t_OZferryTime,t_OZferryTime_segments,time_beached,end_Climb,end_sideClimb,t_Defense,a_Notes,active_Notes,inactive_Notes,end_Notes
2026orwil_qm10,qm,1,10,frc2990,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,blue,AW,outpostWall5,0,0,0,3.169,"{""version"":1,""segments"":[{""start"":1773517253858,""stop"":1773517255532},{""start"":1773517257294,""stop"":1773517257504},{""start"":1773517260218,""stop"":1773517260721},{""start"":1773517279735,""stop"":1773517280517}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,19.568,"{""version"":1,""segments"":[{""start"":1773517281607,""stop"":1773517284401},{""start"":1773517291630,""stop"":1773517292040},{""start"":1773517296067,""stop"":1773517297082},{""start"":1773517297572,""stop"":1773517301034},{""start"":1773517301865,""stop"":1773517302881},{""start"":1773517331213,""stop"":1773517336325},{""start"":1773517343208,""stop"":1773517343770},{""start"":1773517344745,""stop"":1773517349942}]}",0,"{""version"":1,""segments"":[]}",3.425,"{""version"":1,""segments"":[{""start"":1773517319866,""stop"":1773517321053},{""start"":1773517325738,""stop"":1773517327976}]}",24.500000000000078,0,0,[],"- not enough power to shoot balls, missed
- quick to collect fuel","- moved quickly
- shot many balls, very good accuracy, shot relatively quick","- ferried balls over to alliance zone by pushing
- moved quickly
- collected own fuel",- beached on bump for the entire endgame
2026orwil_qm10,qm,1,10,frc3636,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,blue,EG,middle3,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,17.479,"{""version"":1,""segments"":[{""start"":1773517296604,""stop"":1773517299825},{""start"":1773517301210,""stop"":1773517304801},{""start"":1773517312903,""stop"":1773517312994},{""start"":1773517313134,""stop"":1773517313513},{""start"":1773517334870,""stop"":1773517334955},{""start"":1773517335067,""stop"":1773517335297},{""start"":1773517336528,""stop"":1773517336945},{""start"":1773517338292,""stop"":1773517338312},{""start"":1773517346664,""stop"":1773517349250},{""start"":1773517354241,""stop"":1773517355448},{""start"":1773517385011,""stop"":1773517386606},{""start"":1773517394041,""stop"":1773517394782},{""start"":1773517397467,""stop"":1773517399052},{""start"":1773517399352,""stop"":1773517399979},{""start"":1773517405321,""stop"":1773517406425}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],Inactive ,"scored and collected, fairly good at shooting, got better near the end but missed often in the beginning ","collected, played defense in other alliance zone ",Scored more fuel 
2026orwil_qm11,qm,1,11,frc2635,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,red,pk,middle3,0,0,0,6.695,"{""version"":1,""segments"":[{""start"":1773518199370,""stop"":1773518205998},{""start"":1773518240491,""stop"":1773518240558}]}",1.388,"{""version"":1,""segments"":[{""start"":1773518236505,""stop"":1773518237893}]}",,0,20.489,"{""version"":1,""segments"":[{""start"":1773518289981,""stop"":1773518306816},{""start"":1773518342464,""stop"":1773518346118}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],they were idle and they had a score time of  6.06 seconds and they had a ferry time of 1.03 seconds ,during there active shift they had a score time of 6.06 seconds and they had no ferrying ,during there inactive shift they were still scoring ,in there endgame they did not climb 
2026orwil_qm11,qm,1,11,frc3574,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,red,HD,depot2,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Other,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,"[""NZ"",""OZ"",""bumpTrench""]",No auto,"intake and shooter broken, tried to ferry fuel without it",Played defense all around did decently slowed down the blue alkiance,no climb
2026orwil_qm11,qm,1,11,frc6343,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,red,np,outpostWall5,0,0,0,0.527,"{""version"":1,""segments"":[{""start"":1773518209935,""stop"":1773518210462}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,"[""OZ""]",,,,
2026orwil_qm11,qm,1,11,frc4662,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,blue,AH,outpostWall5,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",3.632,"{""version"":1,""segments"":[{""start"":1773518238542,""stop"":1773518238587},{""start"":1773518238727,""stop"":1773518238766},{""start"":1773518238919,""stop"":1773518238953},{""start"":1773518239071,""stop"":1773518239110},{""start"":1773518239230,""stop"":1773518239269},{""start"":1773518239373,""stop"":1773518239414},{""start"":1773518239532,""stop"":1773518239564},{""start"":1773518240007,""stop"":1773518240019},{""start"":1773518240863,""stop"":1773518240899},{""start"":1773518241002,""stop"":1773518241071},{""start"":1773518241142,""stop"":1773518241221},{""start"":1773518241281,""stop"":1773518241331},{""start"":1773518241441,""stop"":1773518241489},{""start"":1773518241582,""stop"":1773518241629},{""start"":1773518241741,""stop"":1773518241781},{""start"":1773518241881,""stop"":1773518241920},{""start"":1773518241980,""stop"":1773518242036},{""start"":1773518242160,""stop"":1773518242186},{""start"":1773518242321,""stop"":1773518242339},{""start"":1773518242448,""stop"":1773518242499},{""start"":1773518242604,""stop"":1773518242648},{""start"":1773518242738,""stop"":1773518242786},{""start"":1773518242900,""stop"":1773518242938},{""start"":1773518243039,""stop"":1773518243089},{""start"":1773518243199,""stop"":1773518243248},{""start"":1773518266740,""stop"":1773518266807},{""start"":1773518266958,""stop"":1773518267058},{""start"":1773518267139,""stop"":1773518267250},{""start"":1773518267327,""stop"":1773518267437},{""start"":1773518267527,""stop"":1773518267638},{""start"":1773518267718,""stop"":1773518267788},{""start"":1773518267899,""stop"":1773518268167},{""start"":1773518268259,""stop"":1773518268337},{""start"":1773518268438,""stop"":1773518268517},{""start"":1773518268898,""stop"":1773518268967},{""start"":1773518274311,""stop"":1773518275152},{""start"":1773518275637,""stop"":1773518275648},{""start"":1773518276178,""stop"":1773518276230},{""start"":1773518276888,""stop"":1773518276925},{""start"":1773518285925,""stop"":1773518286393},{""start"":1773518287412,""stop"":1773518287503}]}",0,0,0,"[""OZ""]",Not in motion.,Ferrying neutral zone by pushing fuel.,Ferrying neutral zone by pushing fuel.,Playing defense on the red alliance side.
2026orwil_qm11,qm,1,11,frc957,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,blue,AW,depotWall1,0,0,0,8.897,"{""version"":1,""segments"":[{""start"":1773518198027,""stop"":1773518202069},{""start"":1773518205412,""stop"":1773518210267}]}",0,"{""version"":1,""segments"":[]}",Auto 2,0,24.239,"{""version"":1,""segments"":[{""start"":1773518248793,""stop"":1773518251727},{""start"":1773518257431,""stop"":1773518261244},{""start"":1773518277395,""stop"":1773518279241},{""start"":1773518292964,""stop"":1773518293274},{""start"":1773518300123,""stop"":1773518301501},{""start"":1773518302116,""stop"":1773518303161},{""start"":1773518304915,""stop"":1773518306840},{""start"":1773518310502,""stop"":1773518310598},{""start"":1773518310958,""stop"":1773518311038},{""start"":1773518311167,""stop"":1773518311248},{""start"":1773518311347,""stop"":1773518311958},{""start"":1773518313612,""stop"":1773518313897},{""start"":1773518314027,""stop"":1773518314337},{""start"":1773518315561,""stop"":1773518316314},{""start"":1773518322631,""stop"":1773518322885},{""start"":1773518323075,""stop"":1773518323581},{""start"":1773518324253,""stop"":1773518324587},{""start"":1773518324722,""stop"":1773518325410},{""start"":1773518337446,""stop"":1773518338641},{""start"":1773518339140,""stop"":1773518340540},{""start"":1773518346251,""stop"":1773518350646}]}",0,"{""version"":1,""segments"":[]}",1.637,"{""version"":1,""segments"":[{""start"":1773518296964,""stop"":1773518298601}]}",5.899999999999995,0,0,[],"- collected balls and shot some, ok accuracy","- moved a little slow
- able to shoot balls from long distance
- good accuracy
- slow shooting","- collected fuel
- ferried some fuel by pushing it to alliance zone",- shot more balls
2026orwil_qm11,qm,1,11,frc6831,frc2635,frc3574,frc6343,frc4662,frc957,frc6831,blue,EG,depot2,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,2.016,"{""version"":1,""segments"":[{""start"":1773518226263,""stop"":1773518226346},{""start"":1773518226606,""stop"":1773518226635},{""start"":1773518226980,""stop"":1773518227396},{""start"":1773518324558,""stop"":1773518324652},{""start"":1773518325109,""stop"":1773518325152},{""start"":1773518325687,""stop"":1773518325751},{""start"":1773518326159,""stop"":1773518326585},{""start"":1773518354963,""stop"":1773518355824}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],Inactive ,"Scored a few but other wise didn't do much, not very helpful","collected and played some defense, quite slow",
2026orwil_qm12,qm,1,12,frc2471,frc2471,frc6696,frc4488,frc5937,frc3673,frc847,red,CW,depotWall1,1,0,0,2.256,"{""version"":1,""segments"":[{""start"":1773522171394,""stop"":1773522172612},{""start"":1773522178347,""stop"":1773522179385}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,"[""OZ"",""bumpTrench""]","Got hit in auto, but also their turret wasn't shooting maybe broken ","tried to shoot but then realized that turret was broken, ","playing defense but also was pushing fuel into own zone, tried to free alliance partner ",ended up on a trench last second playing defense 
2026orwil_qm12,qm,1,12,frc6696,frc2471,frc6696,frc4488,frc5937,frc3673,frc847,red,Pk,outpostWall5,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0.417,"{""version"":1,""segments"":[{""start"":1773522560244,""stop"":1773522560303},{""start"":1773522560993,""stop"":1773522561030},{""start"":1773522561362,""stop"":1773522561400},{""start"":1773522561543,""stop"":1773522561661},{""start"":1773522561714,""stop"":1773522561879}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],"Ran as intended, got stuck/stopped for a bit but fixed itself","shot decently, kept shooting too early in inactive, not good from far but better closer","drove well, slow intaking, not bad, far ferry shots which was good",kept shooting and stuff like normal
